0.10000D-01,0.41789D-01,0.73793D-01,0.21722D-01,0.23412D-02,0.73363D-02,0.95604D-02,0.10111D-01,0.67286D-02
0.20000D-01,0.97899D-01,0.13093D+00,0.63750D-01,0.89005D-02,0.29371D-01,0.37567D-01,0.39378D-01,0.26642D-01
0.30000D-01,0.15384D+00,0.17334D+00,0.11449D+00,0.20074D-01,0.65877D-01,0.82515D-01,0.85702D-01,0.59426D-01
0.40000D-01,0.20576D+00,0.20638D+00,0.16548D+00,0.35232D-01,0.11123D+00,0.13609D+00,0.13998D+00,0.10038D+00
0.50000D-01,0.25369D+00,0.23336D+00,0.21339D+00,0.53357D-01,0.15971D+00,0.19042D+00,0.19385D+00,0.14501D+00
0.60000D-01,0.29839D+00,0.25625D+00,0.25774D+00,0.73463D-01,0.20796D+00,0.24127D+00,0.24295D+00,0.19077D+00
0.70000D-01,0.34033D+00,0.27626D+00,0.29897D+00,0.94761D-01,0.25465D+00,0.28745D+00,0.28621D+00,0.23661D+00
0.80000D-01,0.37964D+00,0.29417D+00,0.33747D+00,0.11667D+00,0.29940D+00,0.32921D+00,0.32417D+00,0.28198D+00
0.90000D-01,0.41625D+00,0.31049D+00,0.37342D+00,0.13877D+00,0.34202D+00,0.36717D+00,0.35777D+00,0.32635D+00
0.10000D+00,0.45006D+00,0.32559D+00,0.40683D+00,0.16076D+00,0.38230D+00,0.40186D+00,0.38786D+00,0.36910D+00
0.11000D+00,0.48106D+00,0.33972D+00,0.43768D+00,0.18239D+00,0.41998D+00,0.43361D+00,0.41506D+00,0.40965D+00
0.12000D+00,0.50930D+00,0.35308D+00,0.46600D+00,0.20348D+00,0.45487D+00,0.46267D+00,0.43983D+00,0.44753D+00
0.13000D+00,0.53492D+00,0.36581D+00,0.49185D+00,0.22388D+00,0.48687D+00,0.48922D+00,0.46249D+00,0.48246D+00
0.14000D+00,0.55810D+00,0.37801D+00,0.51538D+00,0.24348D+00,0.51599D+00,0.51342D+00,0.48329D+00,0.51432D+00
0.15000D+00,0.57906D+00,0.38977D+00,0.53674D+00,0.26223D+00,0.54234D+00,0.53546D+00,0.50243D+00,0.54315D+00
0.16000D+00,0.59805D+00,0.40115D+00,0.55615D+00,0.28010D+00,0.56611D+00,0.55553D+00,0.52010D+00,0.56912D+00
0.17000D+00,0.61527D+00,0.41220D+00,0.57380D+00,0.29707D+00,0.58751D+00,0.57381D+00,0.53645D+00,0.59243D+00
0.18000D+00,0.63094D+00,0.42297D+00,0.58990D+00,0.31317D+00,0.60678D+00,0.59049D+00,0.55163D+00,0.61334D+00
0.19000D+00,0.64526D+00,0.43349D+00,0.60461D+00,0.32844D+00,0.62417D+00,0.60576D+00,0.56575D+00,0.63211D+00
0.20000D+00,0.65839D+00,0.44378D+00,0.61811D+00,0.34290D+00,0.63990D+00,0.61977D+00,0.57894D+00,0.64900D+00
0.21000D+00,0.67048D+00,0.45387D+00,0.63055D+00,0.35662D+00,0.65418D+00,0.63267D+00,0.59129D+00,0.66423D+00
0.22000D+00,0.68166D+00,0.46377D+00,0.64205D+00,0.36965D+00,0.66720D+00,0.64461D+00,0.60289D+00,0.67803D+00
0.23000D+00,0.69204D+00,0.47351D+00,0.65274D+00,0.38202D+00,0.67911D+00,0.65568D+00,0.61383D+00,0.69057D+00
0.24000D+00,0.70172D+00,0.48309D+00,0.66270D+00,0.39380D+00,0.69006D+00,0.66601D+00,0.62416D+00,0.70202D+00
0.25000D+00,0.71077D+00,0.49251D+00,0.67202D+00,0.40503D+00,0.70017D+00,0.67566D+00,0.63395D+00,0.71252D+00
0.26000D+00,0.71927D+00,0.50180D+00,0.68077D+00,0.41575D+00,0.70954D+00,0.68471D+00,0.64325D+00,0.72218D+00
0.27000D+00,0.72727D+00,0.51095D+00,0.68900D+00,0.42601D+00,0.71826D+00,0.69324D+00,0.65210D+00,0.73111D+00
0.28000D+00,0.73482D+00,0.51997D+00,0.69679D+00,0.43583D+00,0.72640D+00,0.70129D+00,0.66055D+00,0.73940D+00
0.29000D+00,0.74198D+00,0.52887D+00,0.70416D+00,0.44525D+00,0.73404D+00,0.70891D+00,0.66863D+00,0.74711D+00
0.30000D+00,0.74877D+00,0.53765D+00,0.71115D+00,0.45430D+00,0.74121D+00,0.71615D+00,0.67637D+00,0.75432D+00
0.31000D+00,0.75522D+00,0.54630D+00,0.71781D+00,0.46301D+00,0.74797D+00,0.72304D+00,0.68379D+00,0.76107D+00
0.32000D+00,0.76138D+00,0.55484D+00,0.72416D+00,0.47140D+00,0.75437D+00,0.72960D+00,0.69092D+00,0.76741D+00
0.33000D+00,0.76725D+00,0.56326D+00,0.73022D+00,0.47950D+00,0.76043D+00,0.73587D+00,0.69778D+00,0.77339D+00
0.34000D+00,0.77287D+00,0.57157D+00,0.73602D+00,0.48731D+00,0.76618D+00,0.74188D+00,0.70439D+00,0.77904D+00
0.35000D+00,0.77825D+00,0.57976D+00,0.74158D+00,0.49486D+00,0.77165D+00,0.74763D+00,0.71076D+00,0.78439D+00
0.36000D+00,0.78341D+00,0.58784D+00,0.74691D+00,0.50217D+00,0.77687D+00,0.75315D+00,0.71690D+00,0.78946D+00
0.37000D+00,0.78836D+00,0.59581D+00,0.75203D+00,0.50925D+00,0.78186D+00,0.75845D+00,0.72284D+00,0.79428D+00
0.38000D+00,0.79312D+00,0.60367D+00,0.75696D+00,0.51611D+00,0.78662D+00,0.76355D+00,0.72858D+00,0.79887D+00
0.39000D+00,0.79771D+00,0.61141D+00,0.76170D+00,0.52276D+00,0.79119D+00,0.76847D+00,0.73413D+00,0.80324D+00
0.40000D+00,0.80212D+00,0.61904D+00,0.76627D+00,0.52922D+00,0.79556D+00,0.77321D+00,0.73950D+00,0.80742D+00
0.41000D+00,0.80637D+00,0.62656D+00,0.77068D+00,0.53549D+00,0.79977D+00,0.77778D+00,0.74470D+00,0.81142D+00
0.42000D+00,0.81048D+00,0.63396D+00,0.77493D+00,0.54159D+00,0.80381D+00,0.78219D+00,0.74975D+00,0.81525D+00
0.43000D+00,0.81444D+00,0.64126D+00,0.77904D+00,0.54752D+00,0.80769D+00,0.78646D+00,0.75464D+00,0.81893D+00
0.44000D+00,0.81827D+00,0.64845D+00,0.78302D+00,0.55329D+00,0.81143D+00,0.79058D+00,0.75938D+00,0.82246D+00
0.45000D+00,0.82197D+00,0.65552D+00,0.78686D+00,0.55891D+00,0.81504D+00,0.79457D+00,0.76398D+00,0.82585D+00
0.46000D+00,0.82555D+00,0.66248D+00,0.79058D+00,0.56438D+00,0.81852D+00,0.79843D+00,0.76845D+00,0.82911D+00
0.47000D+00,0.82902D+00,0.66934D+00,0.79419D+00,0.56971D+00,0.82188D+00,0.80218D+00,0.77279D+00,0.83226D+00
0.48000D+00,0.83238D+00,0.67608D+00,0.79768D+00,0.57490D+00,0.82513D+00,0.80580D+00,0.77700D+00,0.83529D+00
0.49000D+00,0.83563D+00,0.68272D+00,0.80106D+00,0.57997D+00,0.82826D+00,0.80932D+00,0.78110D+00,0.83821D+00
0.50000D+00,0.83879D+00,0.68925D+00,0.80435D+00,0.58491D+00,0.83130D+00,0.81273D+00,0.78508D+00,0.84103D+00
0.51000D+00,0.84185D+00,0.69567D+00,0.80754D+00,0.58974D+00,0.83424D+00,0.81604D+00,0.78895D+00,0.84376D+00
0.52000D+00,0.84482D+00,0.70198D+00,0.81063D+00,0.59445D+00,0.83708D+00,0.81926D+00,0.79272D+00,0.84640D+00
0.53000D+00,0.84770D+00,0.70819D+00,0.81364D+00,0.59905D+00,0.83984D+00,0.82239D+00,0.79639D+00,0.84896D+00
0.54000D+00,0.85050D+00,0.71429D+00,0.81656D+00,0.60354D+00,0.84251D+00,0.82542D+00,0.79996D+00,0.85143D+00
0.55000D+00,0.85322D+00,0.72028D+00,0.81940D+00,0.60793D+00,0.84511D+00,0.82837D+00,0.80343D+00,0.85383D+00
0.56000D+00,0.85586D+00,0.72617D+00,0.82216D+00,0.61222D+00,0.84763D+00,0.83124D+00,0.80681D+00,0.85616D+00
0.57000D+00,0.85843D+00,0.73196D+00,0.82484D+00,0.61642D+00,0.85007D+00,0.83404D+00,0.81011D+00,0.85841D+00
0.58000D+00,0.86093D+00,0.73765D+00,0.82746D+00,0.62052D+00,0.85245D+00,0.83675D+00,0.81332D+00,0.86060D+00
0.59000D+00,0.86337D+00,0.74323D+00,0.83000D+00,0.62454D+00,0.85475D+00,0.83940D+00,0.81645D+00,0.86273D+00
0.60000D+00,0.86574D+00,0.74871D+00,0.83248D+00,0.62846D+00,0.85700D+00,0.84198D+00,0.81950D+00,0.86480D+00
0.61000D+00,0.86804D+00,0.75410D+00,0.83490D+00,0.63231D+00,0.85918D+00,0.84449D+00,0.82247D+00,0.86681D+00
0.62000D+00,0.87029D+00,0.75938D+00,0.83725D+00,0.63607D+00,0.86131D+00,0.84693D+00,0.82538D+00,0.86877D+00
0.63000D+00,0.87247D+00,0.76457D+00,0.83954D+00,0.63975D+00,0.86337D+00,0.84932D+00,0.82820D+00,0.87067D+00
0.64000D+00,0.87460D+00,0.76966D+00,0.84178D+00,0.64336D+00,0.86539D+00,0.85164D+00,0.83096D+00,0.87252D+00
0.65000D+00,0.87668D+00,0.77466D+00,0.84395D+00,0.64689D+00,0.86735D+00,0.85390D+00,0.83366D+00,0.87433D+00
0.66000D+00,0.87871D+00,0.77956D+00,0.84608D+00,0.65036D+00,0.86926D+00,0.85611D+00,0.83629D+00,0.87609D+00
0.67000D+00,0.88068D+00,0.78437D+00,0.84816D+00,0.65375D+00,0.87113D+00,0.85827D+00,0.83885D+00,0.87780D+00
0.68000D+00,0.88261D+00,0.78908D+00,0.85018D+00,0.65707D+00,0.87295D+00,0.86038D+00,0.84136D+00,0.87948D+00
0.69000D+00,0.88449D+00,0.79371D+00,0.85216D+00,0.66033D+00,0.87472D+00,0.86243D+00,0.84381D+00,0.88111D+00
0.70000D+00,0.88632D+00,0.79825D+00,0.85409D+00,0.66353D+00,0.87645D+00,0.86444D+00,0.84620D+00,0.88270D+00
0.71000D+00,0.88811D+00,0.80269D+00,0.85597D+00,0.66666D+00,0.87814D+00,0.86639D+00,0.84853D+00,0.88425D+00
0.72000D+00,0.88986D+00,0.80705D+00,0.85781D+00,0.66973D+00,0.87979D+00,0.86831D+00,0.85081D+00,0.88577D+00
0.73000D+00,0.89157D+00,0.81133D+00,0.85961D+00,0.67275D+00,0.88140D+00,0.87018D+00,0.85304D+00,0.88725D+00
0.74000D+00,0.89323D+00,0.81552D+00,0.86137D+00,0.67570D+00,0.88297D+00,0.87200D+00,0.85522D+00,0.88870D+00
0.75000D+00,0.89486D+00,0.81963D+00,0.86309D+00,0.67861D+00,0.88451D+00,0.87379D+00,0.85735D+00,0.89012D+00
0.76000D+00,0.89646D+00,0.82365D+00,0.86477D+00,0.68145D+00,0.88601D+00,0.87553D+00,0.85943D+00,0.89150D+00
0.77000D+00,0.89801D+00,0.82760D+00,0.86641D+00,0.68425D+00,0.88748D+00,0.87724D+00,0.86147D+00,0.89285D+00
0.78000D+00,0.89953D+00,0.83146D+00,0.86802D+00,0.68699D+00,0.88892D+00,0.87891D+00,0.86346D+00,0.89418D+00
0.79000D+00,0.90102D+00,0.83525D+00,0.86959D+00,0.68968D+00,0.89033D+00,0.88054D+00,0.86540D+00,0.89547D+00
0.80000D+00,0.90247D+00,0.83895D+00,0.87113D+00,0.69233D+00,0.89170D+00,0.88214D+00,0.86731D+00,0.89674D+00
0.81000D+00,0.90389D+00,0.84258D+00,0.87264D+00,0.69493D+00,0.89305D+00,0.88370D+00,0.86917D+00,0.89798D+00
0.82000D+00,0.90528D+00,0.84614D+00,0.87411D+00,0.69748D+00,0.89437D+00,0.88523D+00,0.87099D+00,0.89919D+00
0.83000D+00,0.90664D+00,0.84962D+00,0.87555D+00,0.69998D+00,0.89566D+00,0.88673D+00,0.87278D+00,0.90038D+00
0.84000D+00,0.90797D+00,0.85304D+00,0.87696D+00,0.70244D+00,0.89692D+00,0.88819D+00,0.87452D+00,0.90155D+00
0.85000D+00,0.90928D+00,0.85637D+00,0.87835D+00,0.70486D+00,0.89816D+00,0.88963D+00,0.87623D+00,0.90269D+00
0.86000D+00,0.91055D+00,0.85964D+00,0.87970D+00,0.70724D+00,0.89937D+00,0.89103D+00,0.87790D+00,0.90381D+00
0.87000D+00,0.91180D+00,0.86284D+00,0.88103D+00,0.70957D+00,0.90056D+00,0.89241D+00,0.87954D+00,0.90490D+00
0.88000D+00,0.91302D+00,0.86598D+00,0.88233D+00,0.71186D+00,0.90173D+00,0.89376D+00,0.88115D+00,0.90598D+00
0.89000D+00,0.91422D+00,0.86904D+00,0.88360D+00,0.71412D+00,0.90287D+00,0.89508D+00,0.88272D+00,0.90703D+00
0.90000D+00,0.91539D+00,0.87204D+00,0.88485D+00,0.71634D+00,0.90399D+00,0.89637D+00,0.88425D+00,0.90806D+00
0.91000D+00,0.91653D+00,0.87498D+00,0.88607D+00,0.71851D+00,0.90509D+00,0.89764D+00,0.88576D+00,0.90908D+00
0.92000D+00,0.91766D+00,0.87785D+00,0.88727D+00,0.72066D+00,0.90616D+00,0.89888D+00,0.88723D+00,0.91007D+00
0.93000D+00,0.91876D+00,0.88066D+00,0.88844D+00,0.72276D+00,0.90722D+00,0.90010D+00,0.88868D+00,0.91104D+00
0.94000D+00,0.91984D+00,0.88341D+00,0.88959D+00,0.72484D+00,0.90826D+00,0.90129D+00,0.89010D+00,0.91200D+00
0.95000D+00,0.92089D+00,0.88610D+00,0.89072D+00,0.72687D+00,0.90927D+00,0.90246D+00,0.89148D+00,0.91294D+00
0.96000D+00,0.92193D+00,0.88873D+00,0.89183D+00,0.72888D+00,0.91027D+00,0.90361D+00,0.89284D+00,0.91386D+00
0.97000D+00,0.92295D+00,0.89131D+00,0.89292D+00,0.73085D+00,0.91125D+00,0.90474D+00,0.89417D+00,0.91477D+00
0.98000D+00,0.92394D+00,0.89382D+00,0.89398D+00,0.73279D+00,0.91221D+00,0.90584D+00,0.89548D+00,0.91566D+00
0.99000D+00,0.92492D+00,0.89628D+00,0.89503D+00,0.73469D+00,0.91316D+00,0.90692D+00,0.89676D+00,0.91653D+00
0.10000D+01,0.92587D+00,0.89869D+00,0.89605D+00,0.73657D+00,0.91408D+00,0.90799D+00,0.89802D+00,0.91739D+00
